country,year,Current account balance (% of GDP),Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),GDP (current US$),GDP deflator (base year varies by country),GDP growth (annual %),GDP per capita growth (annual %),GNI per capita (constant 2015 US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)",Poverty headcount ratio at national poverty lines (% of population),"Unemployment, total (% of total labor force) (national estimate)"
Argentina,2000 [YR2000],-3.15992237703676,11.8943940069522,20.2029550063968,67.9026580788139,1660.52009057054,10.9863752325576,284203750000.0,59.214529394292,-0.78899893905691,-1.90698749835167,10407.6613660534,11.6360695451767,26.9885079767917,57.72,73.926,26.9885079767917,15.0
Argentina,2001 [YR2001],-1.40694788500181,11.7608864894987,19.5928991235837,68.6462216505576,1562.31178709416,11.5790080825317,268696750000.0,58.5656756966243,-4.40883968258557,-5.45379697848054,9818.95240543895,10.2732473690136,26.9885079767917,56.8,74.186,26.9885079767917,17.32
Argentina,2002 [YR2002],8.97078467784247,11.9459455546317,17.9842795291973,70.069774916171,1502.20934243469,28.3825969991682,97724004251.8602,76.4605374112749,-10.8944848285903,-11.8459503938227,8431.41397302142,13.370127359396,26.9885079767917,57.9,74.408,26.9885079767917,19.59
Argentina,2003 [YR2003],6.37990680177011,11.6123885531817,19.5348657620055,68.8527456848128,1590.84132143851,25.9309429264224,127586973492.177,84.4856083466432,8.83704079576924,7.71922963663721,9196.09222734599,14.7138051046861,26.9885079767917,60.25,74.08,26.9885079767917,15.36
Argentina,2004 [YR2004],1.95058324319273,11.1246994711754,20.4749533321787,68.4003471966459,1720.3112556181,23.8476194239892,164657930452.787,99.9999998969317,9.02957330068152,7.92815705080419,9200.53986553681,16.8450266849578,26.9885079767917,61.943,74.855,26.9885079767917,13.522
Argentina,2005 [YR2005],2.65363142179073,10.6450302749412,21.0543647930115,68.3006049320472,1712.85349015617,23.2458767338576,198737095012.282,110.317511084538,8.85165992013437,7.73249699851691,9895.5147348447,17.3053942367662,26.9885079767917,61.511,75.139,26.9885079767917,11.506
Argentina,2006 [YR2006],2.79449564264943,10.1667394285704,21.4919234286819,68.3413371427477,1844.2651618793,23.0266946038115,232557260817.308,125.47629818382,8.04715150043027,6.93498173764449,11532.1387290714,17.4067852681036,26.9885079767917,61.795,75.433,26.9885079767917,10.078
Argentina,2007 [YR2007],2.1036160391819,9.80082178666644,21.8151012305832,68.3840830780958,1849.45279643745,22.6627503115066,287530508430.568,144.222363056105,9.00765087504757,7.91621057164458,12528.8645087621,18.2824203070644,26.9885079767917,61.0,75.006,26.9885079767917,8.47
Argentina,2008 [YR2008],1.49940141614234,9.48649335179129,22.00483947512,68.5086792518466,1928.32659888375,22.0609003826242,361558037110.419,177.640364739783,4.05723310346406,3.02978540664043,12921.5464332358,18.341772996414,26.9885079767917,60.428,75.641,26.9885079767917,7.837
Argentina,2009 [YR2009],2.1785669619099,9.22641273969564,21.3125506256205,69.4610366346839,1856.09639267081,19.5609850560818,332976484577.619,204.957277170641,-5.91852507634947,-6.86795522506981,11960.8997425603,14.4961418494061,26.9885079767917,60.78,75.936,26.9885079767917,8.645
